,affiliate_channel,affiliate_provider,age,country_destination,date_account_created,date_first_booking,first_affiliate_tracked,first_browser,first_device_type,gender,id,language,signup_app,signup_flow,signup_method,timestamp_first_active,date_first_active,secs_elapsed
71,direct,direct,46.0,ES,2014-03-13,2014-03-27,linked,Mobile Safari,iPad,FEMALE,00ri3ux25n,en,Web,0,basic,20140313024018,2014-03-13,1542921.0
79,direct,direct,38.0,FR,2014-05-02,2014-05-05,untracked,Firefox,Windows Desktop,,00zfq9bobc,en,Web,0,basic,20140502181337,2014-05-02,1524296.0
83,direct,direct,40.0,DE,2014-01-23,2014-01-25,linked,Firefox,Mac Desktop,MALE,01188d2ec6,en,Web,0,basic,20140123231440,2014-01-23,1896872.0
88,direct,direct,26.0,US,2014-01-31,2014-02-16,linked,Safari,Mac Desktop,MALE,015wz0i7jm,en,Web,0,basic,20140131210749,2014-01-31,686483.0
90,sem-brand,google,23.0,US,2014-06-27,2014-06-29,omg,Safari,Mac Desktop,MALE,0165xv7l4p,en,Web,0,basic,20140627075246,2014-06-27,2015651.0
99,direct,direct,36.0,US,2014-05-06,2014-05-07,untracked,Chrome,Mac Desktop,MALE,01azaxsab3,en,Web,0,basic,20140506043754,2014-05-06,3586427.0
101,direct,direct,31.0,US,2014-01-22,2014-05-10,linked,Chrome,Windows Desktop,OTHER,01b38fp04a,it,Web,0,basic,20140122181706,2014-01-22,2042170.0
104,direct,direct,65.0,US,2014-02-22,2014-02-22,untracked,Mobile Safari,iPad,MALE,01c9r7ie91,en,Web,0,basic,20140222050731,2014-02-22,1717504.0
106,api,other,25.0,US,2014-02-28,2014-03-02,untracked,Mobile Safari,iPhone,MALE,01cj73ax7u,en,iOS,12,facebook,20140228043626,2014-02-28,1361672.0
111,sem-brand,bing,22.0,US,2014-06-24,2014-07-24,omg,Mobile Safari,iPhone,MALE,01exzqnc72,en,iOS,25,facebook,20140624194516,2014-06-24,860212.0
112,direct,direct,33.0,ES,2014-04-30,2014-04-30,linked,Mobile Safari,iPad,FEMALE,01ez9tkx4j,en,Web,0,basic,20140430041643,2014-04-30,4572293.0
118,direct,direct,37.0,US,2014-06-25,2014-07-01,untracked,Chrome,Windows Desktop,MALE,01hfd5lsel,en,Web,0,basic,20140625224200,2014-06-25,1022633.0
123,seo,google,24.0,other,2014-02-02,2014-05-03,linked,Mobile Safari,iPad,FEMALE,01khid4m8b,en,Web,0,facebook,20140202084558,2014-02-02,2210089.0
124,direct,direct,28.0,US,2014-05-07,2014-05-08,untracked,Chrome,Windows Desktop,MALE,01kv2ppj25,en,Web,0,basic,20140507234814,2014-05-07,16484604.0
126,sem-brand,google,31.0,US,2014-04-25,2014-06-30,omg,IE,Windows Desktop,MALE,01luupsq2i,en,Web,0,facebook,20140425165202,2014-04-25,314583.0
134,sem-non-brand,google,26.0,US,2014-02-10,2014-02-10,omg,Chrome,Windows Desktop,FEMALE,01p3ynmfs7,en,Web,0,facebook,20140210053956,2014-02-10,5176040.0
139,sem-brand,google,20.0,US,2014-02-28,2014-03-01,omg,Chrome,Mac Desktop,FEMALE,01toc3l9y5,en,Web,0,facebook,20140228183439,2014-02-28,1705501.0
146,sem-brand,google,43.0,US,2014-06-15,2015-01-07,omg,Mobile Safari,iPad,FEMALE,01w22yhf78,en,Web,0,facebook,20140615222809,2014-06-15,10098403.0
155,sem-brand,google,37.0,US,2014-04-08,2014-04-09,omg,Chrome,Windows Desktop,MALE,020qjhjqe8,en,Web,0,basic,20140408160905,2014-04-08,564988.0
156,direct,direct,38.0,US,2014-05-26,2014-05-26,untracked,Firefox,Mac Desktop,OTHER,021hmh1f5i,en,Web,0,basic,20140526165100,2014-05-26,282185.0
164,sem-brand,google,46.0,US,2014-05-05,2014-05-08,linked,Chrome,Mac Desktop,MALE,024ata8x3d,en,Web,0,basic,20140505065923,2014-05-05,268993.0
167,direct,direct,31.0,US,2014-04-24,2014-04-24,linked,Safari,Mac Desktop,MALE,0262vs5rv9,en,Web,0,facebook,20140424074844,2014-04-24,3077993.0
169,direct,direct,33.0,FR,2014-04-13,2014-10-01,untracked,Chrome,Windows Desktop,FEMALE,02708gikhn,en,Web,0,basic,20140413183335,2014-04-13,1498668.0
172,sem-brand,google,66.0,GB,2014-03-22,2014-03-22,omg,Mobile Safari,iPad,FEMALE,0291diw5cw,en,Web,0,basic,20140322154004,2014-03-22,3764778.0
175,sem-brand,google,62.0,IT,2014-04-23,2014-04-27,untracked,Mobile Safari,iPad,,02ba36r0nc,en,Web,0,basic,20140423215303,2014-04-23,598046.0
177,direct,direct,27.0,US,2014-01-03,2014-02-02,untracked,Firefox,Windows Desktop,,02c9qrqjjj,en,iOS,25,basic,20140103215005,2014-01-03,86000.0
178,direct,direct,50.0,other,2014-04-01,2014-04-05,untracked,Chrome,Mac Desktop,MALE,02ce32w92h,en,Web,0,basic,20140401193934,2014-04-01,3599028.0
186,direct,direct,31.0,CA,2014-05-26,2014-05-26,linked,Mobile Safari,iPad,,02gffb0lmn,en,Web,0,basic,20140526085428,2014-05-26,918630.0
188,direct,direct,37.0,GB,2014-03-31,2014-04-01,linked,Safari,Mac Desktop,FEMALE,02havb7pzy,en,Web,0,basic,20140331175333,2014-03-31,574876.0
193,direct,direct,29.0,US,2014-02-15,2014-08-15,untracked,Safari,Mac Desktop,MALE,02j4ylsh0c,en,Web,0,facebook,20140215031648,2014-02-15,797150.0
206,direct,direct,37.0,US,2014-01-11,2014-01-12,untracked,Chrome,Mac Desktop,MALE,02tptrizx7,en,Web,0,facebook,20140111213006,2014-01-11,3152529.0
212,direct,direct,33.0,other,2014-05-27,2015-04-12,product,Chrome,Mac Desktop,MALE,02xa1emuaf,en,Web,0,facebook,20140527210150,2014-05-27,1358340.0
220,sem-non-brand,google,74.0,DE,2014-03-13,2014-03-19,omg,IE,Windows Desktop,FEMALE,0310kb1tb0,en,Web,0,basic,20140313195117,2014-03-13,223289.0
223,direct,direct,29.0,US,2014-03-16,2014-03-24,linked,Safari,Mac Desktop,FEMALE,031t8x9lia,de,Web,0,basic,20140316022148,2014-03-16,510419.0
227,direct,direct,59.0,US,2014-02-06,2014-07-07,untracked,Firefox,Windows Desktop,,033qwzzv1o,en,Web,0,basic,20140206182216,2014-02-06,643495.0
230,direct,direct,37.0,US,2014-03-16,2014-03-16,untracked,IE,Windows Desktop,FEMALE,0375vz017c,en,Web,0,facebook,20140316174156,2014-03-16,1903655.0
232,sem-non-brand,google,25.0,US,2014-01-02,2014-01-02,linked,Safari,Mac Desktop,FEMALE,039664pl26,en,Web,0,basic,20140102205915,2014-01-02,1504846.0
233,direct,direct,32.0,US,2014-06-20,2014-06-20,linked,Safari,Mac Desktop,FEMALE,039ejh5uei,zh,Web,0,facebook,20140620025534,2014-06-20,10538054.0
234,api,other,32.0,US,2014-02-21,2014-02-26,untracked,Mobile Safari,iPhone,MALE,039wokuc77,en,iOS,12,facebook,20140221075604,2014-02-21,484.0
240,direct,direct,27.0,CA,2014-02-24,2014-03-08,untracked,Chrome,Mac Desktop,MALE,03dv6xhyqj,en,Web,0,basic,20140224161457,2014-02-24,2308524.0
242,direct,direct,61.0,US,2014-06-21,2014-06-21,linked,Chrome,Windows Desktop,MALE,03elnptx6z,en,Web,0,basic,20140621204620,2014-06-21,5749081.0
243,direct,direct,51.0,FR,2014-06-13,2014-07-15,untracked,Safari,Mac Desktop,FEMALE,03f1zxtzk0,en,Web,0,basic,20140613220440,2014-06-13,12760445.0
245,direct,direct,53.0,US,2014-04-23,2014-05-04,linked,Mobile Safari,iPhone,FEMALE,03f8wbfd66,en,Web,0,basic,20140423013348,2014-04-23,138367.0
246,direct,direct,38.0,US,2014-02-13,2014-02-24,untracked,IE,Windows Desktop,FEMALE,03fu4odod3,en,Web,0,basic,20140213164404,2014-02-13,1600842.0
247,sem-brand,google,36.0,US,2014-01-22,2014-01-22,linked,Chrome,Mac Desktop,MALE,03fu6zodma,en,Web,0,facebook,20140122063633,2014-01-22,5649077.0
253,direct,direct,37.0,US,2014-01-17,2014-01-25,untracked,Firefox,Windows Desktop,,03j27kl1xn,en,Web,0,basic,20140117230911,2014-01-17,3387992.0
255,direct,direct,27.0,other,2014-01-07,2014-04-27,omg,IE,Windows Desktop,MALE,03jbozytmd,en,Android,23,basic,20140107235032,2014-01-07,570674.0
259,direct,direct,44.0,US,2014-04-08,2014-04-08,linked,Firefox,Mac Desktop,MALE,03kvrukcp2,de,Web,0,facebook,20140408162448,2014-04-08,1312.0
263,direct,direct,25.0,US,2014-03-10,2014-03-10,linked,Chrome,Mac Desktop,MALE,03n7soui00,en,Web,0,basic,20140310013024,2014-03-10,2728803.0
265,direct,direct,32.0,US,2014-03-11,2014-06-10,untracked,Safari,Mac Desktop,MALE,03nheise4m,en,Web,0,basic,20140311043632,2014-03-11,3856060.0
267,sem-non-brand,google,54.0,US,2014-02-14,2014-02-19,omg,IE,Windows Desktop,MALE,03p4y7n05u,en,Web,0,basic,20140214202307,2014-02-14,3895099.0
268,sem-brand,google,36.0,ES,2014-05-21,2014-05-22,omg,Chrome,Windows Desktop,FEMALE,03p56fu0af,en,Web,0,basic,20140521074356,2014-05-21,3197576.0
271,direct,direct,34.0,US,2014-04-14,2014-04-14,omg,Firefox,Windows Desktop,FEMALE,03qptb1u93,en,iOS,12,facebook,20140414192719,2014-04-14,774604.0
272,sem-brand,google,44.0,other,2014-03-13,2014-03-14,untracked,Mobile Safari,iPad,MALE,03qtkpnx47,en,Web,0,facebook,20140313234353,2014-03-13,938274.0
282,direct,direct,29.0,other,2014-06-30,2014-07-09,linked,Mobile Safari,iPhone,FEMALE,03yyerv2a0,en,Web,0,basic,20140630022541,2014-06-30,492403.0
286,sem-brand,google,32.0,US,2014-04-21,2014-04-27,omg,Chrome,Mac Desktop,MALE,043jwvzwxy,en,Web,0,basic,20140421181908,2014-04-21,76965.0
288,direct,direct,32.0,US,2014-06-28,2014-07-02,untracked,Mobile Safari,iPhone,MALE,044j7dp3sz,en,Web,0,basic,20140628221411,2014-06-28,2357306.0
292,seo,google,28.0,US,2014-02-21,2014-02-24,linked,Chrome,Windows Desktop,FEMALE,0466lq65dq,en,Web,0,facebook,20140221052141,2014-02-21,5955117.0
300,sem-brand,google,22.0,GB,2014-01-21,2014-02-01,omg,Chrome,Mac Desktop,FEMALE,04atg7t0xx,en,Web,0,basic,20140121085026,2014-01-21,319047.0
302,direct,direct,39.0,US,2014-06-11,2014-06-25,untracked,Chrome,Windows Desktop,MALE,04bzkdej2v,en,Web,0,facebook,20140611033106,2014-06-11,1785053.0
308,direct,direct,38.0,US,2014-04-02,2014-09-04,linked,Safari,Mac Desktop,FEMALE,04d68cd73s,en,Web,0,basic,20140402081313,2014-04-02,1435294.0
313,sem-brand,google,34.0,US,2014-05-21,2014-09-26,omg,Firefox,Mac Desktop,FEMALE,04e76b64iz,en,Web,0,basic,20140521214122,2014-05-21,1762795.0
314,direct,direct,32.0,US,2014-03-19,2014-05-17,untracked,Chrome,Windows Desktop,FEMALE,04echiiv9f,en,Web,0,basic,20140319224528,2014-03-19,27137.0
315,direct,direct,20.0,other,2014-03-31,2014-05-25,linked,Chrome,Mac Desktop,FEMALE,04esjoutcq,en,Web,0,basic,20140331064059,2014-03-31,1322605.0
316,sem-non-brand,google,48.0,US,2014-04-26,2014-04-28,untracked,Safari,Mac Desktop,FEMALE,04ge0i584t,en,Web,0,basic,20140426221656,2014-04-26,2014322.0
317,direct,direct,32.0,US,2014-03-31,2015-01-17,untracked,Firefox,Mac Desktop,FEMALE,04h7v1ynp5,en,Web,0,facebook,20140331222605,2014-03-31,118736.0
323,direct,direct,26.0,US,2014-06-21,2015-03-18,untracked,Mobile Safari,iPhone,FEMALE,04kd9afiil,en,Moweb,0,facebook,20140621165023,2014-06-21,22632.0
324,direct,direct,49.0,US,2014-01-06,2014-01-08,untracked,IE,Windows Desktop,FEMALE,04kwlgm6ke,en,Web,0,facebook,20140106055308,2014-01-06,2284095.0
333,api,other,28.0,ES,2014-04-01,2014-04-02,untracked,Mobile Safari,iPhone,MALE,04pd5hw6wn,en,iOS,12,facebook,20140401193143,2014-04-01,5472677.0
339,direct,direct,40.0,other,2014-06-10,2014-06-12,untracked,-unknown-,Android Phone,MALE,04wc90871z,en,Android,23,basic,20140610211847,2014-06-10,39789.0
345,sem-brand,google,47.0,US,2014-03-21,2014-04-01,omg,Chrome,Windows Desktop,FEMALE,04xzadyw81,en,Web,0,facebook,20140321022526,2014-03-21,2328.0
363,sem-brand,google,33.0,US,2014-06-19,2014-06-19,omg,Chrome,Windows Desktop,,055texouzb,en,Web,0,basic,20140619050557,2014-06-19,2076341.0
367,api,other,26.0,US,2014-03-30,2014-04-01,untracked,-unknown-,Other/Unknown,FEMALE,056qnsw0nz,en,Android,12,basic,20140330191802,2014-03-30,2303462.0
370,direct,direct,35.0,US,2014-01-07,2014-02-28,linked,Firefox,Windows Desktop,MALE,058h6gp2af,en,Web,0,basic,20140107233200,2014-01-07,1081637.0
371,sem-non-brand,google,25.0,US,2014-04-06,2014-04-09,omg,IE,Windows Desktop,FEMALE,059polzs34,en,Web,0,facebook,20140406071739,2014-04-06,456782.0
372,direct,direct,45.0,US,2014-06-05,2014-06-05,untracked,Safari,Mac Desktop,MALE,05ai1t9fa2,en,Web,0,facebook,20140605070351,2014-06-05,2014756.0
377,direct,direct,23.0,CA,2014-04-25,2014-04-25,untracked,Chrome,Mac Desktop,FEMALE,05ccrvp8aq,en,Web,0,facebook,20140425060448,2014-04-25,452811.0
380,direct,direct,34.0,FR,2014-04-23,2014-04-23,untracked,Chrome,Mac Desktop,MALE,05eml9mod4,en,Web,0,basic,20140423134308,2014-04-23,2234587.0
387,api,other,24.0,US,2014-02-26,2014-03-14,untracked,-unknown-,Other/Unknown,FEMALE,05kw6myma1,en,Android,12,facebook,20140226183421,2014-02-26,790186.0
396,sem-brand,google,26.0,US,2014-06-17,2015-06-12,omg,Chrome,Windows Desktop,MALE,05o65qb0c3,en,Web,0,facebook,20140617230650,2014-06-17,426006.0
398,direct,direct,26.0,US,2014-04-28,2014-07-01,untracked,-unknown-,iPhone,MALE,05ovtrz9d1,en,iOS,25,basic,20140428062642,2014-04-28,1067320.0
399,sem-brand,google,36.0,DE,2014-04-30,2014-05-01,omg,Safari,Mac Desktop,MALE,05pa0vpjhq,en,Web,0,basic,20140430041721,2014-04-30,2482144.0
403,direct,direct,26.0,US,2014-04-21,2014-04-21,untracked,Chrome,Mac Desktop,MALE,05svu37ejk,en,Web,0,facebook,20140421211314,2014-04-21,2945052.0
407,direct,direct,27.0,US,2014-06-18,2014-08-31,untracked,-unknown-,Android Phone,MALE,05tbglisyd,en,Android,23,facebook,20140618184541,2014-06-18,1067758.0
413,sem-brand,google,29.0,US,2014-05-16,2014-06-02,omg,Chrome,Mac Desktop,FEMALE,05wa0uxq7c,en,Web,0,basic,20140516013903,2014-05-16,358477.0
415,sem-brand,bing,29.0,US,2014-06-30,2014-07-01,linked,Chrome,Windows Desktop,FEMALE,05xp886mpi,en,Web,0,basic,20140630042426,2014-06-30,6248269.0
417,sem-brand,google,37.0,US,2014-06-24,2014-10-03,omg,Chrome,Mac Desktop,,05z5trjk1e,en,Web,0,basic,20140624003147,2014-06-24,844776.0
420,direct,direct,28.0,US,2014-05-12,2014-05-28,untracked,-unknown-,iPad,,05zy2xrdy4,en,iOS,25,basic,20140512044542,2014-05-12,596433.0
433,direct,direct,40.0,other,2014-03-16,2014-11-24,linked,Safari,Mac Desktop,MALE,063ncxsex2,en,Web,0,basic,20140316021747,2014-03-16,2905301.0
436,direct,direct,42.0,US,2014-05-13,2014-06-04,untracked,IE,Windows Desktop,MALE,0678oryy95,en,Web,0,facebook,20140513021426,2014-05-13,727973.0
444,direct,direct,35.0,US,2014-05-07,2014-07-08,untracked,-unknown-,iPhone,MALE,06afpo0de6,en,iOS,25,basic,20140507040021,2014-05-07,1992.0
447,direct,direct,33.0,US,2014-05-13,2014-05-21,untracked,IE,Windows Desktop,MALE,06bokjixs2,ja,Web,0,basic,20140513052437,2014-05-13,2630002.0
448,sem-non-brand,google,24.0,US,2014-05-30,2014-09-03,omg,Firefox,Mac Desktop,FEMALE,06bwh5oorr,en,Web,0,facebook,20140530002839,2014-05-30,927968.0
459,direct,direct,26.0,other,2014-03-25,2014-03-28,linked,IE,Windows Desktop,,06f4m5rq7j,en,Web,0,basic,20140325205033,2014-03-25,450614.0
464,direct,direct,50.0,US,2014-04-03,2014-04-03,untracked,Chrome,Windows Desktop,,06j1lfd966,en,Web,0,basic,20140403204240,2014-04-03,1443965.0
465,sem-brand,google,58.0,US,2014-04-27,2014-05-08,omg,Firefox,Windows Desktop,MALE,06jaq92ufb,en,Web,0,basic,20140427174243,2014-04-27,544608.0
476,direct,direct,34.0,other,2014-05-01,2014-05-20,untracked,Chrome,Mac Desktop,MALE,06nw6p1rx7,en,Web,0,facebook,20140501013434,2014-05-01,799336.0
477,sem-non-brand,google,42.0,US,2014-04-15,2014-10-12,omg,Safari,Mac Desktop,MALE,06o3idddl4,en,Web,0,basic,20140415213129,2014-04-15,1886387.0
479,direct,direct,26.0,ES,2014-06-15,2014-06-22,omg,Chrome,Mac Desktop,FEMALE,06r7plwtat,en,Web,0,basic,20140615020546,2014-06-15,716187.0
482,direct,direct,66.0,ES,2014-01-08,2014-01-09,untracked,Chrome,Windows Desktop,,06t5vzo7nb,en,Web,0,basic,20140108015414,2014-01-08,1805048.0
483,direct,direct,20.0,DE,2014-06-12,2014-06-21,untracked,Safari,Mac Desktop,MALE,06te3rdrpk,fr,Web,0,basic,20140612164413,2014-06-12,1452.0
487,direct,direct,36.0,US,2014-05-15,2015-03-27,untracked,Chrome,Windows Desktop,MALE,06vyewr5ud,en,Web,0,facebook,20140515163634,2014-05-15,1116529.0
493,direct,direct,35.0,other,2014-04-07,2014-04-07,untracked,Firefox,Windows Desktop,MALE,06zzom3a66,en,Web,0,facebook,20140407210625,2014-04-07,1068089.0
496,direct,direct,37.0,US,2014-05-25,2014-05-27,linked,Safari,Mac Desktop,FEMALE,0719vvlwmc,en,Web,0,basic,20140525004023,2014-05-25,875115.0
498,sem-brand,google,43.0,US,2014-05-29,2014-05-30,omg,Chrome,Windows Desktop,MALE,071uc8p9dl,en,Web,0,basic,20140529232740,2014-05-29,358000.0
508,direct,direct,27.0,other,2014-02-21,2014-11-06,untracked,Firefox,Mac Desktop,FEMALE,077hu6p9fw,en,Web,0,basic,20140221230425,2014-02-21,4492577.0
511,direct,direct,32.0,US,2014-05-01,2014-05-01,untracked,Firefox,Mac Desktop,MALE,07a3g1xtlw,en,Web,0,basic,20140501172432,2014-05-01,2309510.0
519,direct,direct,45.0,US,2014-02-11,2014-04-23,untracked,Firefox,Mac Desktop,FEMALE,07ifh0e1ii,en,Web,0,basic,20140211014941,2014-02-11,1405799.0
522,direct,direct,58.0,US,2014-04-23,2014-05-01,untracked,-unknown-,iPhone,FEMALE,07jsdu6on8,en,iOS,25,basic,20140423015259,2014-04-23,1744669.0
526,sem-brand,google,62.0,US,2014-05-16,2014-05-17,omg,IE,Android Tablet,FEMALE,07kivwznyr,en,Web,0,basic,20140516215634,2014-05-16,506981.0
527,direct,direct,27.0,US,2014-06-23,2014-06-24,untracked,-unknown-,iPhone,FEMALE,07ksm7p22e,en,iOS,25,facebook,20140623173350,2014-06-23,992688.0
531,api,other,28.0,US,2014-01-20,2014-02-03,untracked,-unknown-,Other/Unknown,FEMALE,07mq2l3bkt,en,Android,12,facebook,20140120090112,2014-01-20,1960489.0
536,sem-brand,google,19.0,AU,2014-06-23,2014-06-24,untracked,Safari,Mac Desktop,,07p5ccjpke,en,Web,0,basic,20140623144058,2014-06-23,2312008.0
544,direct,direct,23.0,NL,2014-06-16,2014-06-19,untracked,Safari,Mac Desktop,FEMALE,07rw84uz9j,en,Web,0,facebook,20140616221948,2014-06-16,1097935.0
545,direct,direct,32.0,US,2014-04-22,2014-04-22,untracked,Chrome,Mac Desktop,,07sdk7vesz,en,Web,0,basic,20140422032808,2014-04-22,705800.0
547,direct,direct,28.0,IT,2014-03-30,2014-05-02,untracked,Safari,Mac Desktop,MALE,07tnpqqd50,en,Web,0,facebook,20140330185227,2014-03-30,4090680.0
551,direct,direct,31.0,FR,2014-01-02,2014-01-15,linked,Chrome,Windows Desktop,,07uj7rw2h7,en,Web,0,basic,20140102043322,2014-01-02,1983658.0
553,sem-brand,google,18.0,other,2014-02-25,2014-02-26,omg,Chrome,Mac Desktop,MALE,07uskni4co,en,Web,0,basic,20140225052632,2014-02-25,2201859.0
554,direct,direct,31.0,other,2014-06-29,2014-08-28,untracked,-unknown-,iPhone,MALE,07vdl2ksq3,en,iOS,25,facebook,20140629101906,2014-06-29,1105629.0
560,api,other,28.0,US,2014-03-02,2015-02-18,untracked,-unknown-,iPhone,MALE,07xzdv7v8n,en,iOS,12,facebook,20140302001950,2014-03-02,3536287.0
564,content,google,24.0,US,2014-03-31,2014-07-22,omg,IE,Windows Desktop,FEMALE,0806z7trwl,en,Web,0,basic,20140331225656,2014-03-31,1039070.0
569,direct,direct,32.0,IT,2014-06-22,2014-06-22,untracked,Safari,Mac Desktop,FEMALE,081hg88uyw,en,Web,0,basic,20140622191634,2014-06-22,1520134.0
570,direct,direct,43.0,AU,2014-05-09,2014-05-10,omg,Safari,Mac Desktop,MALE,0822dgbe5u,en,Web,0,basic,20140509224405,2014-05-09,2481663.0
577,sem-non-brand,google,32.0,GB,2014-04-19,2014-04-19,linked,Safari,Mac Desktop,,084576euim,en,Web,0,basic,20140419022309,2014-04-19,289263.0
588,api,other,29.0,US,2014-03-01,2014-09-17,untracked,Chrome Mobile,Android Phone,FEMALE,08aftgs7ew,en,Moweb,12,facebook,20140301023453,2014-03-01,1076421.0
590,other,email-marketing,29.0,US,2014-06-30,2015-05-04,untracked,Mobile Safari,iPhone,FEMALE,08b8p068wh,en,iOS,25,basic,20140630182408,2014-06-30,84023.0
595,direct,direct,23.0,US,2014-06-27,2014-08-13,linked,Mobile Safari,iPhone,FEMALE,08clif8gvx,en,Web,0,facebook,20140627185435,2014-06-27,54262.0
602,sem-brand,google,19.0,US,2014-05-27,2014-05-28,linked,Safari,Mac Desktop,FEMALE,08fi082ch6,en,Web,0,basic,20140527072154,2014-05-27,4241135.0
603,direct,direct,52.0,US,2014-02-24,2014-02-25,untracked,Chrome,Mac Desktop,MALE,08gbnj0h13,en,Web,0,basic,20140224233948,2014-02-24,388893.0
605,remarketing,google,27.0,other,2014-03-19,2014-11-20,omg,Chrome,Mac Desktop,FEMALE,08gukftlc5,en,Web,0,basic,20140319152816,2014-03-19,3258060.0
608,direct,direct,50.0,other,2014-01-02,2014-01-02,untracked,Mobile Safari,iPad,MALE,08kx4pqoih,en,Web,0,basic,20140102003148,2014-01-02,48225.0
614,sem-brand,google,40.0,IT,2014-06-30,2014-07-13,omg,Firefox,Mac Desktop,MALE,08omhc3ic4,en,Web,0,basic,20140630083123,2014-06-30,596937.0
619,direct,direct,20.0,US,2014-03-12,2014-03-12,untracked,Chrome,Windows Desktop,,08q6w8ct18,en,Web,0,basic,20140312034639,2014-03-12,3513988.0
620,seo,facebook,18.0,US,2014-03-07,2015-01-17,omg,Mobile Safari,iPhone,FEMALE,08qeqqp6li,en,Web,0,basic,20140307001116,2014-03-07,101827.0
625,direct,direct,29.0,US,2014-04-09,2014-04-10,untracked,Safari,Mac Desktop,FEMALE,08tkjxpyc7,en,Web,0,basic,20140409045733,2014-04-09,4017087.0
628,direct,direct,33.0,IT,2014-06-09,2014-06-12,untracked,Chrome,Mac Desktop,,08u5ahw8gl,en,Web,0,basic,20140609045003,2014-06-09,3098545.0
630,sem-brand,google,51.0,FR,2014-01-25,2014-01-27,omg,Mobile Safari,iPad,FEMALE,08upsqg4uv,en,Web,0,facebook,20140125192623,2014-01-25,616306.0
632,direct,direct,26.0,US,2014-01-25,2014-01-25,untracked,Firefox,Windows Desktop,MALE,08vbg0ebcq,en,Web,0,basic,20140125045205,2014-01-25,867970.0
640,direct,direct,26.0,US,2014-03-11,2014-03-13,untracked,Firefox,Windows Desktop,FEMALE,08zn7yrfac,en,Web,0,basic,20140311194433,2014-03-11,145421.0
643,direct,direct,35.0,US,2014-01-16,2014-01-18,untracked,Chrome,Windows Desktop,MALE,0900278qas,en,Web,0,basic,20140116050625,2014-01-16,853865.0
645,direct,direct,31.0,CA,2014-03-26,2014-03-28,untracked,Firefox,Mac Desktop,,091tr8kfd2,en,Web,0,basic,20140326212852,2014-03-26,2174654.0
649,direct,direct,27.0,other,2014-01-03,2014-02-24,linked,Chrome,Desktop (Other),MALE,09305vitud,en,Web,0,basic,20140103052611,2014-01-03,7363953.0
650,direct,direct,41.0,other,2014-03-13,2015-03-06,untracked,Firefox,Windows Desktop,,0940ozm46m,en,Web,0,basic,20140313040139,2014-03-13,277238.0
656,api,other,28.0,US,2014-03-13,2014-03-13,untracked,Mobile Safari,iPhone,MALE,096h51u6zi,en,iOS,12,facebook,20140313030204,2014-03-13,1146320.0
